ds,y
01-11-2019,1730.2405
04-11-2019,1722.2997
05-11-2019,1674.9529
06-11-2019,1692.7203
07-11-2019,1705.2767
08-11-2019,1687.3604
11-11-2019,1697.8820
13-11-2019,1660.1136
14-11-2019,1644.2322
15-11-2019,1734.7567
18-11-2019,1723.0938
19-11-2019,1719.8678
20-11-2019,1750.5389
21-11-2019,1734.1116
22-11-2019,1720.5129
25-11-2019,1750.9857
26-11-2019,1771.0360
27-11-2019,1797.9353
28-11-2019,1779.7213
29-11-2019,1772.9716
02-12-2019,1771.8302
03-12-2019,1781.8553
04-12-2019,1795.9999
05-12-2019,1788.1583
06-12-2019,1770.6390
09-12-2019,1792.9229
10-12-2019,1800.2184
11-12-2019,1808.3080
12-12-2019,1815.6035
13-12-2019,1828.3584
16-12-2019,1846.8702
17-12-2019,1831.7333
18-12-2019,1824.2391
19-12-2019,1815.4546
20-12-2019,1804.5361
23-12-2019,1794.7094
24-12-2019,1803.4443
26-12-2019,1802.5509
27-12-2019,1816.5962
30-12-2019,1835.5050
31-12-2019,1832.1302
01-01-2020,1805.3798
02-01-2020,1812.3777
03-01-2020,1821.2118
06-01-2020,1824.7354
07-01-2020,1830.2444
08-01-2020,1820.3679
09-01-2020,1829.7480
10-01-2020,1852.4785
13-01-2020,1864.9354
14-01-2020,1859.7740
15-01-2020,1852.4288
16-01-2020,1884.9363
17-01-2020,1889.2540
20-01-2020,1877.9880
21-01-2020,1856.9452
22-01-2020,1841.4110
23-01-2020,1883.3977
24-01-2020,1896.3511
27-01-2020,1904.1429
28-01-2020,1932.3326
29-01-2020,1946.7749
30-01-2020,1944.6407
31-01-2020,1937.8416
03-02-2020,1958.1400
04-02-2020,1946.7749
05-02-2020,1948.1149
06-02-2020,2008.0179
07-02-2020,2070.5017
10-02-2020,2073.4795
11-02-2020,2131.0002
12-02-2020,2106.0862
13-02-2020,2139.8345
14-02-2020,2130.5537
17-02-2020,2138.8916
18-02-2020,2159.1404
19-02-2020,2169.6619
20-02-2020,2153.2842
24-02-2020,2144.4500
25-02-2020,2116.0000
26-02-2020,2142.1001
27-02-2020,2156.5500
28-02-2020,2106.9500
02-03-2020,2109.2500
03-03-2020,2183.1001
04-03-2020,2174.8000
05-03-2020,2223.7500
06-03-2020,2240.0500
09-03-2020,2181.7500
11-03-2020,2149.2000
12-03-2020,1912.8500
13-03-2020,1962.7000
16-03-2020,1891.9000
17-03-2020,1895.3000
18-03-2020,1805.2500
19-03-2020,1870.9500
20-03-2020,1994.9000
23-03-2020,1851.7500
24-03-2020,1919.9500
25-03-2020,1928.0500
26-03-2020,1883.3000
27-03-2020,1862.5500
30-03-2020,1893.9000
31-03-2020,1989.0500
01-04-2020,1877.0000
03-04-2020,1901.0500
07-04-2020,2067.8501
08-04-2020,2168.9500
09-04-2020,2310.8999
13-04-2020,2341.2000
15-04-2020,2395.4500
16-04-2020,2393.2000
17-04-2020,2332.2000
20-04-2020,2342.5500
21-04-2020,2406.6001
22-04-2020,2384.5000
23-04-2020,2417.3000
24-04-2020,2425.3999
27-04-2020,2425.8501
28-04-2020,2363.3501
29-04-2020,2369.8501
30-04-2020,2332.8999
04-05-2020,2287.1499
05-05-2020,2284.2500
06-05-2020,2291.3501
07-05-2020,2258.8501
08-05-2020,2300.8000
11-05-2020,2326.8999
12-05-2020,2363.5500
13-05-2020,2339.5000
14-05-2020,2366.6001
15-05-2020,2335.2000
18-05-2020,2330.2000
19-05-2020,2321.7500
20-05-2020,2372.7000
21-05-2020,2357.3501
22-05-2020,2320.0000
26-05-2020,2295.7000
27-05-2020,2290.3999
28-05-2020,2285.1001
29-05-2020,2390.1001
01-06-2020,2480.0500
02-06-2020,2411.0000
03-06-2020,2382.2000
04-06-2020,2421.1499
05-06-2020,2460.0500
08-06-2020,2413.0500
09-06-2020,2421.8000
10-06-2020,2394.6499
11-06-2020,2356.3000
12-06-2020,2395.1001
15-06-2020,2335.0500
16-06-2020,2320.3501
17-06-2020,2300.1001
18-06-2020,2310.4500
19-06-2020,2304.7500
22-06-2020,2349.2500
23-06-2020,2380.0500
24-06-2020,2341.3501
25-06-2020,2330.4500
26-06-2020,2350.7500
29-06-2020,2316.6001
30-06-2020,2278.8999
01-07-2020,2241.2500
02-07-2020,2196.6499
03-07-2020,2190.4500
06-07-2020,2161.1001
07-07-2020,2184.5000
08-07-2020,2163.5000
09-07-2020,2176.3501
10-07-2020,2203.1001
13-07-2020,2235.1499
14-07-2020,2218.1499
15-07-2020,2225.3000
16-07-2020,2204.5000
17-07-2020,2263.3999
20-07-2020,2298.7500
21-07-2020,2282.2500
22-07-2020,2261.7500
23-07-2020,2397.4500
24-07-2020,2349.1001
27-07-2020,2361.8999
28-07-2020,2341.5500
29-07-2020,2423.6499
30-07-2020,2562.3501
31-07-2020,2616.5500
03-08-2020,2641.7500
04-08-2020,2690.5500
05-08-2020,2667.7500
06-08-2020,2738.0500
07-08-2020,2784.8501
10-08-2020,3117.8000
11-08-2020,3131.4500
12-08-2020,3117.0000
13-08-2020,3125.5000
14-08-2020,3089.8000
17-08-2020,3129.5500
18-08-2020,3150.8501
19-08-2020,3159.6001
20-08-2020,3189.3000
21-08-2020,3247.3501
24-08-2020,3240.2000
25-08-2020,3245.8999
26-08-2020,3196.8000
27-08-2020,3268.4500
28-08-2020,3272.8501
31-08-2020,3122.8000
01-09-2020,3231.1001
02-09-2020,3330.7000
03-09-2020,3282.5000
04-09-2020,3223.1499
07-09-2020,3199.1001
08-09-2020,3112.6001
09-09-2020,3157.1001
10-09-2020,3156.5500
11-09-2020,3146.6499
14-09-2020,3164.8000
15-09-2020,3184.9500
16-09-2020,3244.3501
17-09-2020,3211.1499
18-09-2020,3344.3999
21-09-2020,3158.8000
22-09-2020,3236.6001
23-09-2020,3147.5500
24-09-2020,3020.4500
25-09-2020,3060.7500
28-09-2020,3097.1499
29-09-2020,3061.8999
30-09-2020,3047.9500
01-10-2020,3064.8999
05-10-2020,3126.2000
06-10-2020,3162.6001
07-10-2020,3181.8999
08-10-2020,3231.4500
09-10-2020,3190.0000
12-10-2020,3207.2500
13-10-2020,3139.1499
14-10-2020,3130.4500
15-10-2020,3111.3999
16-10-2020,3222.7000
19-10-2020,3093.3999
20-10-2020,3085.7500
21-10-2020,3078.9500
22-10-2020,3093.5000
23-10-2020,3068.8501
26-10-2020,3042.1499
27-10-2020,3156.8501
28-10-2020,3131.4500
29-10-2020,3107.6001
30-10-2020,3142.0500
02-11-2020,3048.6499
